food_name,Unnamed: 0.1,Unnamed: 0,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
нектарин,0,0,66,0.5,0.066,0.1,0.2,15.8,11.8,1.6,2.6,0.0,0.0,131.4,0.0,0.0,0.026,0.037,0.0,0.032,1.7,0.3,0.007,8.1,0.0,1.2,0.081,9.0,0.1,0.4,13.5,0.002,39.0,301.5,0.0,20.735
Kiwifruit Gold,1,1,51,0.2,0.008,0.099,0.051,12.8,10.0,0.8,1.1,0.0,0.046,66.8,0.091,0.0,0.051,0.058,0.07,0.2,0.4,0.067,130.7,0.0,1.1,0.074,13.8,0.1,0.2,9.7,0.072,20.3,255.2,0.003,0.077,159.686
Prickly Pear Raw,2,2,8,0.072,0.0,0.0,0.0,1.9,0.2,0.001,1.0,0.0,0.065,17.0,0.0,0.058,0.0,0.0,0.038,0.04,0.0,0.078,2.1,0.0,0.0,0.018,34.2,0.051,0.021,13.1,0.1,2.1,24.7,0.023,0.073,39.263
ананас,3,3,45,0.1,0.074,0.001,0.087,11.8,8.9,0.5,1.3,0.0,0.099,77.4,0.0,0.0,0.085,0.033,0.0,0.014,0.5,0.2,0.1,43.0,0.0,0.078,0.061,11.7,0.091,0.3,10.8,0.8,7.2,98.1,0.061,13.97
Роуан,4,4,253,4.6,0.6,0.0,0.0,54.5,32.1,5.2,14.1,0.0,0.083,162.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8,0.0,0.0,0.0,34.2,2.4,5.0,73.0,0.4,118.6,298.7,0.0,1.0,176.4
Мускадин грозде,5,5,3,0.056,0.0,0.0,0.0,0.8,0.0,0.014,0.2,0.0,0.024,5.1,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.023,0.014,0.8,0.1,1.4,12.2,0.0,0.027,3.38
Хайделбеерен Ютро,6,6,17,0.2,0.039,2.5,2.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Снички задушени,7,7,316,0.7,0.085,0.5,0.1,83.2,0.0,3.4,0.0,0.0,0.039,190.4,0.0,0.1,0.0,0.0,0.011,2.8,0.3,0.5,0.0,0.0,0.0,0.0,67.2,0.6,3.3,58.8,0.3,103.6,988.4,0.0,0.7,157.8
мандарин,8,8,40,0.2,0.07,0.097,0.05,10.1,8.0,0.6,1.4,0.0,0.056,64.7,0.0,0.068,0.05,0.0,0.024,0.3,0.2,0.096,20.3,0.0,0.2,0.0,28.1,0.001,0.1,9.1,0.057,15.2,126.2,0.008,0.078,60.8
Снички,9,9,237,0.5,0.057,0.3,0.1,62.3,0.0,2.6,0.0,0.0,0.076,2.8,0.0,0.093,0.042,0.0,0.1,2.1,0.3,0.5,0.0,0.0,0.0,0.0,50.4,0.4,2.5,44.8,0.2,78.4,740.6,0.0,0.5,118.3
лимонова кора,10,10,1,0.002,0.057,0.024,0.095,0.3,0.054,0.032,0.2,0.0,0.028,1.6,0.0,0.007,0.025,0.0,0.018,0.046,0.055,0.011,2.6,0.0,0.061,0.0,2.7,0.015,0.032,0.3,0.0,0.2,3.2,0.048,0.036,5.934
Банан,11,11,134,0.5,0.2,0.096,0.1,34.3,18.3,1.6,3.9,0.0,0.055,112.4,0.0,0.0,0.085,0.045,0.0,0.1,1.0,0.5,0.6,13.1,0.0,0.2,0.035,7.5,0.1,0.4,40.5,0.4,33.0,537.0,0.049,41.084
малини,12,12,5,0.034,0.005,0.063,0.098,1.2,0.4,0.1,0.7,0.0,0.054,8.6,0.0,0.0,0.067,0.064,0.0,0.074,0.097,0.087,0.068,2.6,0.0,0.025,0.031,2.5,0.034,0.015,2.2,0.017,2.9,15.1,0.028,2.207
кайсия,13,13,17,0.1,0.03,0.099,0.028,3.9,3.2,0.5,0.7,0.0,0.02,30.2,0.0,0.0,0.017,0.038,0.0,0.012,0.2,0.09,0.026,3.5,0.0,0.3,0.039,4.6,0.012,0.1,3.5,0.056,8.1,90.7,0.031,5.334
Ягода Гуава,14,14,4,0.008,0.039,0.004,0.041,1.0,0.0,0.01,0.3,0.0,0.059,4.8,0.0,0.0,0.0,0.0,0.062,0.064,0.0,0.0,2.2,0.0,0.0,0.0,1.3,0.0,0.071,1.0,0.0,1.6,17.5,0.0,0.0,4.931
Kiwifruit Green,15,15,42,0.4,0.095,0.084,0.2,10.1,6.2,0.8,2.1,0.0,0.096,57.3,0.0,0.0,0.067,0.089,0.0,0.066,0.2,0.1,0.086,64.0,0.0,1.0,0.091,23.5,0.002,0.2,11.7,0.064,23.5,215.3,0.034,13.588
